id,Title,Description,Objective,Sector,Coordination Bodies,Status,Collaboration Type,Aid Type Categories,Finance Types,Total Commitment,Total Disbursement,Total Commitment USD,Total Disbursement USD,Transaction count,Filtered Commitment USD,Filtered Disbursement USD,Filtered Transaction count,Reporting Organisation,Financing,Extending,Implementing,Partner Ministry,State/Region,Township,Planned Start date,Planned End date,Actual Start date,Actual End date,Contact Name,Contact Phone,Contact Email,IATI Identifer,IATI Linked,IATI Sync
MM-FERD-ID9822,Improving Access to Quality Basic Education in Burma/Myanmar,"Overall Objective is to contribute to the fulfilment of the rights of children, young people and women to survival, growth, development, protection and participation, with a special focus on the poor, the family and the hard-to-reach.
This project focuses on provision of basic education to children living throughout Burma/Myanmar. Since Cyclone Nargis the geographical focus has shifted specifically to the Ayeyarwaddy Delta until general services are restored in that region.
","Its Purpose (specific objective) is that of increased participation and performance in good quality pre-school and primary education programmes, with extended learning opportunities for all children, especially in disadvantaged and hard-to-reach communities",Education policy and administrative management,Education and TVET Sector Coordination Group,Completion,Bilateral,Project-type interventions,Grant,10000000,10000000,13652510.8,13581424.08,25,13652510.8,13581424.08,5,European Union,European Union,European Union,United Nations Children's Fund,Ministry of Education,Nation-wide - 100.00%,,2007-08-25,2011-12-25,2007-08-25,2011-12-25,Elizabeth Pirnay,+95 (0) 1 230 56 50 ,Elisabeth.PIRNAY@eeas.europa.eu,,False,
MM-FERD-4858,Support to the Reform of the Myanmar Police Force,"The overall objective of the action is to contribute to a more preventive, balanced and professional approach by law enforcement agencies based on international best practices and respect for human rights.",,Security system management and reform,None,Implementation,Bilateral,Project-type interventions,Grant,30000000,10400765.23,32624653.5,11717446.54,9,32624653.5,11717446.54,3,European Union,European Union,European Union,La Fundación Internacional y para Iberoamérica de Administración y Políticas Públicas,,Nation-wide - 100.00%,,2016-12-01,2021-11-30,2016-12-01,,Anouk Van Neck,,Anouk.VAN-NECK@eeas.europa.eu,,False,
MM-FERD-ID110,Telecommunications Sector Reform Project,"The Project takes an integrated approach to the development of the ICT sector in Myanmar. It has three substantive and interrelated components. Creating the enabling policy, regulatory and legal environment will facilitate the establishment of a competitive telecommunications market and expansion of good quality and affordable communications in Myanmar while institutional reform of the government owned incumbent MPT will enable separation of the policy and operational functions of Government in the sector, facilitating the establishment of a level playing field in the sector. The development of a universal service strategy and implementation of pilots will ensure the expansion of services to extremely remote communities. Finally, the establishment of key priority e-Government foundations will allow for common technical horizontals/shared services that government agencies will have access to in order to facilitate the use of ICT for governance reforms and public sector modernization. The project also provides for project implementation support.",The development objectives of the project are to: (a) improve the enabling environment for the telecommunications sector and extend coverage in selected remote pilot locations; and (b) establish priority e-Government technological foundations and institutional capacity for Government to embark on its public sector reform program.,Telecommunications,Transport and ICT Sector Coordination Group,Implementation,Multilateral,Budget support,Grant,31500000,12423890.58,31500000,12423890.58,9,31500000,12423890.58,3,World Bank,World Bank,,Ministry of Transport and Communication,Ministry of Transport and Communication,Nation-wide - 100.00%,,2014-04-01,2019-06-30,2014-04-01,2019-12-31,Kyaw Soe Lynn,654824,klynn@worldbank.org,,False,
MM-FERD-ID3058,"ENHANCED 2ND CHANCE, ALTERNATIVE EDU","Enhanced coverage, quality and relevance of second chance alternative education.",Enhance government capacity at national and sub-national levels to increase access to basic education with reduced disparities in early childhood and primary schools.,"Education, level unspecified",Education and TVET Sector Coordination Group,Completion,Multilateral,Project-type interventions,Grant,2994504.86,2991120.27,2994504.86,2991120.27,484,2994504.86,2991120.27,22,United Nations Children's Fund,UK - Department for International Development| DFAT - Australian Aid Program| Government of Germany| UNICEF Core Resources| European Union| UNITED KINGDOM| Government of Denmark| Government of the Netherlands,United Nations Children's Fund,Karen Baptist Convention,Ministry of Education,Nation-wide - 100.00%,,2011-01-01,2015-12-31,2011-01-01,2013-12-31,Shalini Bahuguna,Tel: +95 1 2305960-69 Ext: 1427,sbahuguna@unicef.org,,False,
MM-FERD-ID0225,Global Health Procurement & Supply Management,"Support the MOH to strengthen and unify the public health supply chain, and provide logistics technical assistance as well as procurement of selected commodities in support of malaria, HIV and TB programs to improve the availability of essential medicines and supplies.","Support the MOH to strengthen and unify the public health supply chain, and provide logistics technical assistance as well as procurement of selected commodities in support of malaria, HIV and TB programs to improve the availability of essential medicines and supplies.",Health policy and administrative management,None,Implementation,"Bilateral, core contributions to NGOs and other private bodies / PPPs",Core contributions and pooled programmes and funds,Grant,15084814,6587421,15084814,6587421,36,15084814,6587421,6,U.S. Agency for International Development,U.S. Agency for International Development,,Chemonics International Inc.,Ministry of Health and Sports,Nation-wide - 100.00%,,2016-08-01,2020-11-11,2016-08-01,,Saskia Funston,95-1-536509,FunstonSA@state.gov,,False,
GIZ-6784,Skills Development for Vulnerable Youth in Rakhine State (SDY),,"Embedded within the Strategy on Transitional Development Assistance of the German government, GIZ-SDY project pursues a conflict-sensitive approach based on the context of the target groups’ lives to improve access to labour market-oriented training opportunities and employment-promotion measures for young people from vulnerable population groups in Rakhine State including those living in IDP camps. The project will thus contribute to improving youth income and employment prospects. These objectives are aligned with the Myanmar government National Education Strategic Plan 2016-2021 and contributes to implementation of the recommendations of the Advisory Commission on Rakhine State. 
The GIZ-SDY project will, therefore, focus on the provision of (mobile) life-skills (e.g. oral communication, interpersonal skills, problem solving and team work) and market-oriented skills trainings (e.g. sewing, carpentry, masonry, small engine repair) as well as employment promotion measures like the provision of start-up kits, internships and small grants to start micro-businesses. This will be done in cooperation with the Norwegian Refugee Council (NRC) and Danish Refugee Council (DRC) and local civil society originations (CSOs). Furthermore, the GIZ-SDY project will work together with the Ministry of Labour, Immigration and Population (MoLIP) as well as the Government Technical High School (GTHS) in Sittwe to strengthen government capacities and to update the TVET infrastructure in selected areas.","Basic life skills for youth and adults(40.00%),Vocational training(50.00%),Civilian peace-building, conflict prevention and resolution(10.00%)",Education and TVET Sector Coordination Group,Implementation,Bilateral,Project-type interventions,Grant,17200000,0,19261761.92,0,36,19261761.92,0,6,Gesellschaft für Internationale Zusammenarbeit,Government of Germany| Gesellschaft für Internationale Zusammenarbeit,,Gesellschaft für Internationale Zusammenarbeit,"Ministry of Labour, Immigration and Population",Rakhine State - 100.00%,Sittwe - 50.00% | Kyauktaw - 50.00%,2017-12-04,2020-03-31,2018-05-15,,Lukas Bauer,+95 9 448797781,lukas.bauer@giz.de,DE-1-201718394,True,
MM-FERD-ID2136,SECONDARY LS CURRICULUM IMPLEMENTED,Secondary life skills curriculum implemented in all schools.,"Enable adolescents nationally to have access to life skills education, to reduce risks and vulnerabilities, including HIV/AIDS.","Education, level unspecified","Education and TVET Sector Coordination Group(50.00%),Health Sector Coordination Group(50.00%)",Completion,Multilateral,Project-type interventions,Grant,4250573.2,4250352.89,4250573.2,4250352.89,225,4250573.2,4250352.89,15,United Nations Children's Fund,UK - Department for International Development| DFAT - Australian Aid Program| UNICEF Core Resources| European Union| Government of Denmark,United Nations Children's Fund,Ministry of Education| United Nations Children's Fund,Ministry of Education,Nation-wide - 100.00%,,2011-01-01,2015-12-31,2011-01-01,2013-12-31,Shalini Bahuguna,Tel: +95 1 2305960-69 Ext: 1427,sbahuguna@unicef.org,,False,
MM-FERD-7890,Child Protection Leadership and Technical Assistance,Timely and quality leadership and technical assistance,To ensure effective leadership and technical assistance in the delivery of results,Other social infrastructure and services,Social Protection and Disaster Management Sector Coordination Group,Completion,Multilateral,Project-type interventions,Grant,2537987.79,2497614.25,2537987.79,2497614.25,625,2537987.79,2497614.25,25,United Nations Children's Fund,Government of Switzerland| United Nations Development Programme| US Bureau of East Asian and Pacific Affairs| United States Department of State| DFAT - Australian Aid Program| Government of Germany| Government of Japan| UNICEF Core Resources| UNITED KINGDOM| European Union,United Nations Children's Fund,United Nations Children's Fund,Ministry of Planning and Finance,Nation-wide - 100.00%,,2016-01-01,2017-12-31,2016-01-01,2017-12-31,Paul Edwards (Mr.),Tel: +95 (0) 1230 5960-5969 ext 1427,pedwards@unicef.org,,False,
MM-FERD-ID4574,"Institutional Strengthening and Policy Dialogue, Myanmar","The action's structure involves three mutually supportive components:
Institutional strengthening and policy dialogue
Rule of law and access to justice
Electoral processes support","The overall objective is to strengthen governance in order to support Myanmar/Burma’s democratic transition processes and reform agenda.
The specific objectives are:
To strengthen institutions and non-state actors and develop capacities for policy making, planning and implementation to respond to citizens’ needs and contribute to general socio-economic development (Component 1)
To improve access to justice and legal aid for the poor and vulnerable, develop legal capacity among justice sector professionals and strengthen selected rule of law institutions to better fulfil their mandates (Component 2)
To support the electoral reform process and lay the groundwork for more credible, inclusive and transparent elections with the results accepted by the people and electoral stakeholders (Component 3)","Elections(33.33%),Legal and judicial development(33.33%),Democratic participation and civil society(33.34%)",Social Protection and Disaster Management Sector Coordination Group,Implementation,Bilateral,Project-type interventions,Grant,12216426,6515330,13788804.76,7344158.04,36,13788804.76,7344158.04,6,European Union,European Union,European Union,,Office of the Union Attorney General| Ministry of Home Affairs,Nation-wide - 100.00%,,2015-10-01,2018-09-30,2015-10-01,,Patrick Mcclay, +95 (0) 1 230 56 50 ,Patrick.MCCLAY@eeas.europa.eu ,,False,
GB-1-114532-101,Ag 5333-Thailand Burma Border Consortium,,,"Food aid/Food security programmes(20.00%),Material relief assistance and services(80.00%)",None,Post-completion,"Bilateral, core contributions to NGOs and other private bodies / PPPs",Project-type interventions,Grant,3575750,2075750,5905547.58,3246633.29,121,5905547.58,3246633.29,11,UK - Department for International Development,UNITED KINGDOM| UK - Department for International Development,UK - Department for International Development,British Council,,,,2009-06-02,2012-06-30,2009-06-02,2012-06-30,,+44 (0) 1355 84 3132,enquiry@dfid.gov.uk,,False,
GB-1-203400-107,Primary Health Care Programme in Marginalized Areas on the Burma China Border,,,"Basic health care(70.00%),Health education(30.00%)",None,Implementation,"Bilateral, core contributions to NGOs and other private bodies / PPPs",Project-type interventions,Grant,4995981,2656682,8001443.02,4262405.01,100,8001443.02,4262405.01,10,UK - Department for International Development,UNITED KINGDOM| UK - Department for International Development,UK - Department for International Development,British Council,,,,2012-12-01,2015-12-31,2012-12-01,,,+44 (0) 1355 84 3132,enquiry@dfid.gov.uk,,False,
MM-FERD-ID1627,Periodic Fund for Humanitarian Assistance in Burma (PFHAB),"The Periodic Funding Mechanism for Humanitarian Assistance to Burma (PFHAB) aims to improve our delivery of humanitarian assistance and to bolster civil society in Burma by addressing the key areas of health (including basic health, HIV/AIDS, reproductive health) and livelihoods.",,"Health, general",Health Sector Coordination Group,Implementation,Bilateral,Project-type interventions,Grant,11348343,9423452,8730905,8333511.42,49,8730905,8333511.42,7,DFAT - Australian Aid Program,DFAT - Australian Aid Program,DFAT - Australian Aid Program,Burnet Institute Myanmar| CARE International| Marie Stopes International,Ministry of Health and Sports,Nation-wide - 100.00%,,2005-04-19,2014-06-30,2005-04-19,,,251-810,,,False,
MM-FERD-ID5037,YCSD  IN EMERGENCY,Young Children and women disaster affected areas have timely access to (a) health and (b) Nutrition interventions.,"National and local capacity in emergency preparedness and response improved to protect children and women in disaster prone areas, including ceasefire areas.",Emergency response,Health Sector Coordination Group,Completion,Multilateral,Project-type interventions,Grant,3302531.67,3302529.61,3302531.67,3302529.61,324,3302531.67,3302529.61,18,United Nations Children's Fund,United Nations Office of Co-ordination of Humanitarian Affairs| U.S. Agency for International Development| UNICEF Core Resources| Global Affairs Canada,United Nations Children's Fund,United Nations Children's Fund,Ministry of Health and Sports,Kachin State - 30.00% | Rakhine State - 70.00%,,2011-01-01,2015-12-31,2011-01-01,2013-12-31,Shalini Bahuguna,Tel: +95 1 2305960-69 Ext: 1427,sbahuguna@unicef.org,,False,
MM-FERD-ID8979,00086607: Public Administration,Strengthened capacity for service delivery and improved responsiveness of the public administration reforms,"To improve responsiveness of the 
public administration. Key objectives are to enhance capacity in government to advance, coordinate and implement incremental public administration reforms, and to promote the establishment of a professional, transparent and representative civil service.",Government administration,None,Implementation,Multilateral,Project-type interventions,Grant,3977699.14,3391221.87,3977699.14,3391221.87,256,3977699.14,3391221.87,16,United Nations Development Programme,United Nations Development Programme| UK - Department for International Development| DFAT - Australian Aid Program| Embassy of Sweden / Section Office Yangon| Swiss Agency for Development and Cooperation| Government of Finland| Government of Denmark,,United Nations Development Programme,Union Civil Service Board| Ministry of Home Affairs| Ministry of the President’s Office,Nation-wide - 100.00%,,2013-01-01,2017-12-31,2013-01-01,,Ms. Emma Moley,09542911-19,emma.morley@undp.org,,False,
MM-FERD-ID4330,ANEMIA & BERIBERI PREVENTION/TREATMENT,"At least 60% of under-five children, pregnant and lactating women nationwide received preventive and curative interventions for anaemia and beriberi annually.",At least 40% of families in program areas practiced appropriate Infant and Young Child Feeding and benefitted from micronutrient supplementation and can access treatment of severe acute malnutrition.,Basic nutrition,Health Sector Coordination Group,Completion,Multilateral,Project-type interventions,Grant,3117175.65,3079021.21,3117175.65,3079021.21,361,3117175.65,3079021.21,19,United Nations Children's Fund,"United Nations Development Programme| DFAT - Australian Aid Program| Government of Germany| UNICEF Core Resources| European Union| United Nations Joint Programme| United Nations Agency, Fund or Commission (UN)",United Nations Children's Fund,Action Contre La Faim| Save the Children - Myanmar| Myanmar Health Assistant Association| Health Poverty Action,Ministry of Health and Sports,Nation-wide - 100.00%,,2011-01-01,2015-12-31,2011-01-01,2013-12-31,Shalini Bahuguna,Tel: +95 1 2305960-69 Ext: 1427,sbahuguna@unicef.org,,False,
MM-FERD-ID3395,Irrigation Development Project in Western Bago Region,"The objective of this project is to increase agricultural productions by developing irrigation systems in Western Bago Region, thereby contributing to improve living standards of farmers in the Region and economic development of Myanmar.",,Agricultural water resources,Agriculture and Rural Development Sector Coordination Group,Implementation,Bilateral,,,0,13000000000,143635575.4,116244570,1,0,116244570,1,Government of Japan,Government of Japan,,"Ministry of Agriculture, Livestock and Irrigation",Ministry of Planning and Finance,Bago Region - 50.00% | Naypyitaw - 50.00%,,2016-03-31,2021-03-31,2014-09-05,,Econmic & ODA Section,01-549644~8,eco@yn.mofa.go.jp,,False,
MM-FERD-ID356,00086667 Micro Finance Transition,Micro Finance Transition Projects (Output 4.1.3) is situated under the Local Governance Pillar (Pillar 1) of the UNDP Country Programme Document (CPD 2013-2015).,"This Output consists of two distinct and complementary objectives.  At the central/ Union level, this output aims to strengthen the policy and regulatory framework for rural financial service provision, by providing policy and technical advisory support to the creation and expansion of the regulatory and institutional framework for microfinance, micro-insurance and other rural financial products and services.  At the Region/State level, the project will help strengthen the base for local entrepreneurship and sustainable livelihoods through two initiatives: support to vocational training and skills development, and strengthening technical extension services for micro entrepreneurship and sustainable livelihoods.",Banking and financial services,Agriculture and Rural Development Sector Coordination Group,Completion,Multilateral,Budget support 98.0%|Core contributions and pooled programmes and funds 0.1%|Project-type interventions 1.9%,Grant,7232492.26,7232492.26,7232492.26,7232492.26,64,7232492.26,7232492.26,8,United Nations Development Programme,The Livelihoods and Food Security Trust Fund| United Nations Development Programme,United Nations Development Programme,Private Agencies Collaborating Together| Groupe de Recherche et d'Echanges Technologiques| Save the Children - Myanmar| United Nations Development Programme,Ministry of Planning and Finance,Magway Region - 33.33% | Shan State - 33.34% | Chin State - 33.33%,Mawlamyinegyun - 33.34%,2013-01-01,2013-12-31,2013-12-31,2014-06-04,Daw Khin May Shin,95-1-542911-19,khin.may.shin@undp.org,,False,
MM-FERD-ID8354,COMMUNITY WATER SUPPLY,Communities access to and capacity to maintain hygienic and healthy water supply is enhanced to better protect children from contaminated water.,"Reduce water and excreta-related diseases caused by polluted water and poor hygienic conditions, especially diarrhoea cases in under-five children in the targeted areas.",Water and sanitation,Health Sector Coordination Group,Completion,Multilateral,Project-type interventions,Grant,4417576.99,4417576.39,4417576.99,4417576.39,169,4417576.99,4417576.39,13,United Nations Children's Fund,Government of Norway| DFAT - Australian Aid Program| UNICEF Core Resources| Government of Denmark,United Nations Children's Fund,Adventist Development and Relief Agency| Agency for Technical Cooperation and Development| Myanmar Health Assistant Association| Community Development Association,"Ministry of Education| Ministry of Health and Sports| Ministry of Agriculture, Livestock and Irrigation",Nation-wide - 100.00%,,2011-01-01,2015-12-31,2011-01-01,2013-12-31,Shalini Bahuguna,Tel: +95 1 2305960-69 Ext: 1427,sbahuguna@unicef.org,,False,
GB-1-107600-101,Accountable Grant (Ag 4442) to Save the Children for Early Learning and Primary School Transition,,,"Education policy and administrative management(20.00%),Primary education(30.00%),Early childhood education(50.00%)",None,Post-completion,"Bilateral, core contributions to NGOs and other private bodies / PPPs",Project-type interventions,Grant,2636924,0,4615760.55,0,144,4615760.55,0,12,UK - Department for International Development,UNITED KINGDOM| UK - Department for International Development,UK - Department for International Development,Hope International,,Nation-wide - 100.00%,,2006-03-01,2011-03-31,2006-03-01,2011-03-31,,+44 (0) 1355 84 3132,enquiry@dfid.gov.uk,,False,
MM-FERD-2402,Early Childhood Development (ECD),To Increase number and proportion of children accessing and completing quality basic education in targeted townships,To Increase number and proportion of children accessing and completing quality basic education in targeted townships,Primary education,Education and TVET Sector Coordination Group,Completion,Multilateral,Project-type interventions,Grant,3308742.99,3299043.24,3308742.99,3299043.24,289,3308742.99,3299043.24,17,United Nations Children's Fund,DFAT - Australian Aid Program| UNICEF Core Resources| European Union| Government of Denmark,United Nations Children's Fund,"Ministry of Education| Ministry of Social Welfare, Relief and Resettlement","Ministry of Education| Ministry of Social Welfare, Relief and Resettlement",Nation-wide - 100.00%,,2016-01-01,2017-12-31,2016-01-01,2017-12-31,Paul Edwards (Mr.),Tel: +95 (0) 1230 5960-5969 ext 1427,pedwards@unicef.org,,False,
MM-FERD-ID1931,DISASTER RISK REDUCTION,Increased capacity at National and sub National levels to incorporate child sensitive elements in DRR (and resilience) platforms and actions.,"The regular and humanitarian response is effectively supported through enhanced management, planning, M&E, advocacy & partnership, communication, supply and operational supports.",Disaster prevention and preparedness,Social Protection and Disaster Management Sector Coordination Group,Completion,Multilateral,Project-type interventions,Grant,1431152.02,1526431.48,1431152.02,1526431.48,1444,1431152.02,1526431.48,38,United Nations Children's Fund,"Government of Switzerland| UK - Department for International Development| United States Department of State| Government of Japan| UNICEF Core Resources| UNITED KINGDOM| United Nations Agency, Fund or Commission (UN)| Global Affairs Canada| Government of Denmark| United Nations Human Settlements Programme",United Nations Children's Fund,United Nations Children's Fund,"Ministry of Social Welfare, Relief and Resettlement",Nation-wide - 100.00%,,2014-01-01,2017-12-31,2014-01-01,2017-12-31,Paul Edwards (Mr.),Tel: +95 1 2305960-69 Ext: 1427,pedwards@unicef.org,,False,
MM-FERD-ID1049,Primary Health Care Project,"The Primary Health Care project supports government as well as ethnic health systems in Kayin/Karen State, a conflict affected State of southeast Myanmar. Basic Health services are strengthened through training, supervision and supplies. Communities are empowered to achieve better health and feedback mechanisms are introduced. The project further supports the coordination between ethnic and government health systems whenever possible.","Disadvantaged people in rural communities, including conflict-affected and vulnerable populations, have access to better basic health infrastructures and services and are enabled to contribute to local health governance through enhanced individual and organizational capacities.",Basic health care,Health Sector Coordination Group,Implementation,Bilateral,Project-type interventions,Grant,5519021,4662209,5519021,4662209,121,5519021,4662209,11,Swiss Agency for Development and Cooperation,Swiss Agency for Development and Cooperation,,Community Partners International,Ministry of Health and Sports,Kayin State - 100.00%,,2014-08-01,2023-07-31,2014-10-01,,U Thet Win Aung,"01-507089, 534754, 512873 Ext: 205",thet.win.aung@eda.admin.ch,,False,
MM-FERD-ID9744,"MRM ACTION PLAN SIGNED, IMPLEMENTED","MRM Action Plans developed and signed by the UN and Myanmar Armed Forces and four non-state armed groups by 2013, are complied with, and 80% of children released receive reintegration and rehabilitation support by 2015.",National and international standards are fully implemented to prevent an d respond to grave violations against children as per UNSC Resolutions 1612/1882.,Multisector aid for basic social services,Social Protection and Disaster Management Sector Coordination Group,Completion,Multilateral,Project-type interventions,Grant,2325439.27,2326184.28,2325439.27,2326184.28,576,2325439.27,2326184.28,24,United Nations Children's Fund,"United Nations Development Programme| UNICEF Core Resources| European Union| United Nations Joint Programme| United Nations Agency, Fund or Commission (UN)| Global Affairs Canada| Government of Denmark| Government of Norway| Government of the Netherlands",United Nations Children's Fund,Save the Children - Myanmar| Danish Refugee Council| Relief International| Myanmar Red Cross Society| Danish Church Aid| World Vision,"Ministry of Social Welfare, Relief and Resettlement",Nation-wide - 100.00%,,2011-01-01,2015-12-31,2011-01-01,2013-12-31,Shalini Bahuguna,Tel: +95 1 2305960-69 Ext: 1427,sbahuguna@unicef.org,,False,
GB-1-107601-101,Contribution to UNICEF Multi-Donor Education Fund,,,"Education policy and administrative management(5.00%),Primary education(60.00%),Basic life skills for youth and adults(10.00%),Early childhood education(20.00%),STD control including HIV/AIDS(5.00%)",None,Post-completion,Bilateral,Project-type interventions,Grant,5200000,0,9927320.57,0,36,9927320.57,0,6,UK - Department for International Development,UNITED KINGDOM| UK - Department for International Development,UK - Department for International Development,United Nations Children's Fund,,Nation-wide - 100.00%,,2006-11-01,2011-03-31,2006-11-01,2011-03-31,,+44 (0) 1355 84 3132,enquiry@dfid.gov.uk,,False,
MM-FERD-ID7778,CARE SPARC,"This initiative supports the Strengthening Partnerships and Resilience of Communities (SPARC) program in Northern Rakhine State (NRS) implemented by CARE. The program addresses livelihood insecurities of vulnerable households in NRS through integrated activities targeted at improving food security and the economic opportunities and position of poor, vulnerable households in NRS.",,Agriculture,Agriculture and Rural Development Sector Coordination Group,Implementation,Bilateral,Project-type interventions,Grant,9751981,9751981,9648691.72,8751592.27,36,9648691.72,8751592.27,6,DFAT - Australian Aid Program,DFAT - Australian Aid Program,DFAT - Australian Aid Program,CARE International,"Ministry of Agriculture, Livestock and Irrigation",Rakhine State - 100.00%,,2011-11-14,2016-02-28,2011-11-14,,,,,AU-5-INK256-MM,True,
MM-FERD-ID5132,"ENHANCED PLANNING, MANAGEMENT","Enhanced planning, management, monitoring and evaluation and mentoring capacity of key education actors at all levels.","Support the Government in improving the quality of basic education nationally, through the child-friendly school initiative","Education, level unspecified",Education and TVET Sector Coordination Group,Completion,Multilateral,Project-type interventions,Grant,2717643.82,2724110.87,2717643.82,2724110.87,400,2717643.82,2724110.87,20,United Nations Children's Fund,DFAT - Australian Aid Program| European Union,United Nations Children's Fund,United Nations Children's Fund,Ministry of Education,Nation-wide - 100.00%,,2011-01-01,2015-12-31,2011-01-01,2013-12-31,Shalini Bahuguna,Tel: +95 1 2305960-69 Ext: 1427,sbahuguna@unicef.org,,False,
41122-7980,Sub-National Coordination and Effectiveness,"1. Sub-national government at the State, Region and Township levels has increased capacity to plan and implement programmes that respond to the needs of the most excluded and vulnerable children and is supported to engage in and influence dialogue on national policies.   
2. Sub-national government at the State and Region level has increased capacity to support effective and inclusive sectoral and multi-sectoral coordination 
3. Field Coordination provides effective support to UNICEF Myanmar’s work to strengthen sub-national capacity to generate data and knowledge on the situation of children at the State, Region and Township level
4. Field Coordination supports UNICEF Myanmar to increase access to interventions that are conflict-sensitive and promote social cohesion and peacebuilding for children in conflict-affected areas
5. UNICEF Myanmar’s systems for monitoring and addressing barriers and bottlenecks preventing children from accessing services at the sub-national level are strengthened, supporting the achievement of Country Programme results.","1. Sub-national government at the State, Region and Township levels has increased capacity to plan and implement programmes that respond to the needs of the most excluded and vulnerable children and is supported to engage in and influence dialogue on national policies.   
2. Sub-national government at the State and Region level has increased capacity to support effective and inclusive sectoral and multi-sectoral coordination 
3. Field Coordination provides effective support to UNICEF Myanmar’s work to strengthen sub-national capacity to generate data and knowledge on the situation of children at the State, Region and Township level
4. Field Coordination supports UNICEF Myanmar to increase access to interventions that are conflict-sensitive and promote social cohesion and peacebuilding for children in conflict-affected areas
5. UNICEF Myanmar’s systems for monitoring and addressing barriers and bottlenecks preventing children from accessing services at the sub-national level are strengthened, supporting the achievement of Country Programme results.",Multisector aid,"Education and TVET Sector Coordination Group(25.00%),Agriculture and Rural Development Sector Coordination Group(25.00%),Health Sector Coordination Group(25.00%),Social Protection and Disaster Management Sector Coordination Group(25.00%)",Implementation,Multilateral,Project-type interventions,Grant,1902935.24,0,1902935.24,0,361,1902935.24,0,19,United Nations Children's Fund,United Nations Development Programme| UK - Department for International Development| Government of Japan| UNICEF Core Resources| United Nations Children's Fund| U.S. Agency for International Development,United Nations Children's Fund,United Nations Children's Fund,Ministry of Planning and Finance,Mandalay Region - 10.00% | Shan State - 10.00% | Sagaing Region - 10.00% | Mon State - 10.00% | Kachin State - 10.00% | Rakhine State - 10.00% | Tanintharyi Region - 10.00% | Magway Region - 10.00% | Kayin State - 10.00% | Chin State - 10.00%,,2018-01-01,2022-12-31,2018-01-01,,Paul Edwards,Tel: +95 (0) 1230 5960-5969 ext 1427,pedwards@unicef.org,,False,
MM-FERD-ID2527,Enabling policy environment for MNCH,"Strengthened political commitment, accountability and national capacity to plan and budget for the scaling up of equity-based high impact maternal, newborn and child health (MNCH) services.","Increased equitable access and use of quality high impact maternal, newborn and child health (MNCH) services.","Health, general",Health Sector Coordination Group,Completion,Multilateral,Project-type interventions,Grant,2334417.67,2333465.54,2334417.67,2333465.54,529,2334417.67,2333465.54,23,United Nations Children's Fund,"Gavi, the Vaccine Alliance| UNICEF Core Resources| United Nations Foundation Inc.| United Nations Office for Project Services",United Nations Children's Fund,"John Snow, Inc.| Ministry of Health and Sports| United Nations Children's Fund",Ministry of Health and Sports,Nation-wide - 100.00%,,2014-01-01,2017-12-31,2014-01-01,2017-12-31,Paul Edwards (Mr.),Tel: +95 1 2305960-69 Ext: 1427,pedwards@unicef.org,,False,
GB-1-114532-102,Ag 5332: IRC-Legal Assistance Centre (Lac) Project,,,Material relief assistance and services,None,Post-completion,"Bilateral, core contributions to NGOs and other private bodies / PPPs",Project-type interventions,Grant,1952000,1669457,3223835.24,2643932.91,289,3223835.24,2643932.91,17,UK - Department for International Development,UNITED KINGDOM| UK - Department for International Development,UK - Department for International Development,British Council,,,,2009-06-02,2013-02-28,2009-06-02,2013-02-28,,+44 (0) 1355 84 3132,enquiry@dfid.gov.uk,,False,
MM-FERD-ID102,Food Security Policy Project,"Will undertake food security policy analysis, field research based on surveys, value chain field research, rural household/community livelihood/land field research, and capacity building.","To undertake food security policy analysis, field research based on surveys, value chain field research, rural household/community livelihood/land field research, and capacity building.",Agricultural development,Agriculture and Rural Development Sector Coordination Group,Implementation,"Bilateral, core contributions to NGOs and other private bodies / PPPs",Core contributions and pooled programmes and funds,Grant,7718509,5691850,7718509,5691850,64,7718509,5691850,8,U.S. Agency for International Development,U.S. Agency for International Development,Michigan State University,Michigan State University,"Ministry of Agriculture, Livestock and Irrigation",Nation-wide - 100.00%,,2014-09-24,2019-09-23,2012-09-01,,Saskia Funston,01-536509,,,False,
MM-FERD-ID9746,"Strenghtening Equity, Access and Quality in Educ. - voc. training","SEAQE Myanmar is a 5-year program is an inclusive education program, supporting community involvement and govt. capacity and strategies in primary education, including teacher and PTA training, school renovation, provision of learning materials and policy recommendations on ethnic education",,"Education facilities and training(26.67%),Teacher training(26.67%),Primary education(20.00%),Vocational training(26.66%)",Education and TVET Sector Coordination Group,Implementation,"Bilateral, core contributions to NGOs and other private bodies / PPPs",Core contributions and pooled programmes and funds,Grant,41723516,41723516,5355153.63,5364274.56,100,5355153.63,5364274.56,10,Government of Norway,Government of Norway,,Adventist Development and Relief Agency,,Nation-wide - 100.00%,,,,2014-01-01,2018-12-31,Åshild Strand Vigtel,,,,False,
GB-1-107615-102,Primary Health Care Programme in Burma,,,"Basic health care(70.00%),Health education(30.00%)",None,Post-completion,"Bilateral, core contributions to NGOs and other private bodies / PPPs",Project-type interventions,Grant,2302454,1799328,3999579.63,2842770.96,196,3999579.63,2842770.96,14,UK - Department for International Development,UNITED KINGDOM| UK - Department for International Development,UK - Department for International Development,British Council,,Nation-wide - 100.00%,,2006-04-01,2013-03-31,2006-04-01,2013-03-31,,+44 (0) 1355 84 3132,enquiry@dfid.gov.uk,,False,
